倍数,timenumber,tmnbr,X
借据,Due Bill,dbl,X
借方,Debit,db,X
借款,Loan,loan,X
借款人,Borrower,brw,X
借记卡,Debit Card,dcrd,X
债券,Bond,bnd,X
债务,Debt,db,X
债务人,Debtor,dbr,X
债权,Creditor's rights,crtor_rt,X
债权人,Debtee,dbe,X
值,Value,val,X
假日,Holiday,hol,X
停产,Stop Production,stop_pd,X
停止,Stop,stp,X
偷漏税,Tax evasion,tax_evasion,X
偿还,Pay,pay,X
储种,Saving Type,savtyp,X
催收,Dun,dun,X
允许,Allow,alow,X
充足,Adequacy,adq,X
免,Free,,
免税,Exemption,exmpt,X
兑,Exchange,exg,X
兑付,Cash,cash,X
兑换,Exchange,exg,X
入,Into,into,X
入库,Into Storage,istrg,X
全,All,all,X
全国,Nation,nation,X
全称,Full Name,fulnm,X
公共,Public,pblc,X
公司,Corporation,corp,X
公式,Expressions,exps,X
公益金,Public welfare fund,public_welfare_fund,X
公积金,Accumulation Fund,acmfnd,X
公证,Notarization,ntz,X
共同,Co,co,X
共有,Mutual,mutual,X
共管,Condominium,cond,X
关户,Close,close,X
关注,Attention,atte,X
关系,Relationship,rln,X
关联,Related,rel,X
关键字,keyword,kw,X
关闭,Close,close,X
其他,Other,other,X
其它,Other,othr,X
具体,Specific,spec,X
具有,Have,h,X
兼营,Compatible,cmptbl,X
兼选,MultiSelect,mltslct,X
内,Inner,inn,X
内容,Content,cntnt,X
内部,Inner,inr,X
内部考核,Ipms,IPMS,X
再,Re,re,X
冗余,repeat,rpt,X
冲正,Correction,cor,X
冲账,Striked Balance,strkbal,X
冲销,Strike A Balance,strkbal,X
决策,Decision,decs,X
决算价,Settlement Rate,stmrate,X
决议,Resolution,resol,X
冻结,Freeze,frz,X
净,Net,net,X
净值,Net Value,nval,X
净利润,Retained Profit,rtnpft,X
净资产,Net Assets,ntast,X
净额,Net Amount,net_amt,X
准入,Access,access,X
准备,Ready,rd,X
准备金,Reserve,resv,X
准时,On Time,ontm,X
准贷记卡,Debit Credit Card,dcrcrd,X
减,Decrease,dec,X
减值,Devalue,deval,X
减少,Decrease,dec,X
减点,Devalue,deval,X
凭证,Warrant,wrt,X
出具,Open,open,X
出口商,Exporter,expter,X
出库,Off Storage,ostrg,X
出现,Appearance,appr,X
出生,Birth,birth,X
出生日期,Birthday,brth,X
出票人,Drawer,drawer,X
出纳,Cash Payment,cashpmt,X
出让,Remise,rems,X
出账,Charge Off,chgof,X
出资,Financing,fncing,X
函,Letter,ltr,X
分值,Value,val,X
分录,Category,cgy,X
分成,Profit Sharing,pft_share,X
分户账,Ledger,ldg,X
分摊,Apportion,appor,X
分机,Extention,ext,X
分析,Analysis,anls,X
分析员,Analyst,anlst,X
分派,Assigned,assg,X
分润,profit,prft,X
分类,Class,clss,X
分行,Branch Bank,bbnk,X
分配,Distribute,dstb,X
